27;16;"Fagus";"sylvatica";"Fagaceae";1782;30;558;"Route de la Grande Cascade  carrefour de la Croix Catelan";"Hêtre pourpre";"'Purpurea'";"Bois de Boulogne (Pré Catelan)";"2.2535882108788412";"48.86468169221"
28;3;"Corylus";"colurna";"Betulaceae";1882;20;210;"Rue du Temple  rue de Bretagne  Rue Perrée  rue Eugène-Spuller";"Noisetier de Byzance";;"Square du Temple";"2.3606105764561289";"48.86483486426674"
29;16;"Ginkgo";"biloba";"Ginkgoaceae";1895;25;395;"3 avenue de la Porte d'Auteuil  1 avenue Gordon Benett";"Arbre aux quarante écus";;"Jardin des Serres d'Auteuil";"2.2527640425512319";"48.847622775368244"
30;19;"Styphnolobium";"japonicum";"Fabaceae";1873;10;335;"Rue Manin  rue Botzaris";"Sophora du Japon";;"Parc des Buttes Chaumont";"2.383654869949424";"48.881460226359223"
31;12;"Diospyros";"kaki";"Ebenaceae";;12;160;"Route de la Ferme  route de la Pyramide";"Kaki";;"Jardin de l' Ecole Du Breuil";"2.46014954013562";"48.823214487778152"
32;12;"Cedrus";"libanii";"Pinaceae";1829;30;440;"route de la Tourelle  route du Point de Vue";"Cèdre du Liban";;"bois de Vincennes (lac de Gravelle)";"2.4452248571239639";"48.820122859334276"
33;14;"Fagus";"sylvatica";"Fagaceae";;30;370;"Bd Jourdan  avenue Reille  rue Gazan  rue de la Cité-Universitaire  rue Nansouty";"Hêtre pourpre";"'Purpurea'";"Parc Montsouris";"2.33664253234399";"48.822492885688114"
34;5;"Phellodendron";"amurense";"Rutaceae";1925;14;178;"rue des Ecoles  place Marcellin-Berthelot";"Phellodendron de l'amour";;"Square Auguste-Mariette-Pacha";"2.345210143340684";"48.849357721524115"
35;19;"Sequoiadendron";"giganteum";"Taxodiaceae";;35;470;"Rue Manin  rue Botzaris";"Séquoia géant";;"Parc des Buttes Chaumont";"2.3806290969598178";"48.879757331854812"
36;19;"Ginkgo";"biloba";"Ginkgoaceae";1913;33;230;"Rue Manin  rue Botzaris";"Arbre aux quarante écus";;"Parc des Buttes Chaumont";"2.3815557575771722";"48.880287157421073"
37;20;"Aesculus";"hippocastanum";"Sapindaceae";;22;345;"Rue du repos  rue des Rondeaux";"Marronnier d'Inde";;"Cimetière du Père Lachaise";"2.3999594823613011";"48.859737212037345"
38;8;"Ginkgo";"biloba";"Ginkgoaceae";1879;22;283;"Boulevard de Courcelles  avenue Vélasquez  avenue Van-Dyck  avenue Ruysdael";"Arbre aux quarante écus";;"Parc Monceau";"2.3063892835730608";"48.879212780203616"
39;14;"Platanus";"x acerifolia";"Platanaceae";1840;40;580;"Bd Jourdan  avenue Reille  rue Gazan  rue de la Cité-Universitaire  rue Nansouty";"Platane commun";;"Parc Montsouris";"2.3386772439020538";"48.822672114764814"
40;20;"Platanus";"x acerifolia";"Platanaceae";1880;20;395;"148 boulevard de Charonne";"Platane commun";;"Alignement 148 boulevard de Charonne";"2.39467883452768";"48.856463800246729"
41;16;"Platanus";"x acerifolia";"Platanaceae";1847;40;480;"Allée de Longchamp  route de Sèvres à Neuilly";"Platane commun";;"Bois de Boulogne (Bagatelle)";"2.2458581534435358";"48.8691399037258"
42;13;"Cedrus";"atlantica";"Pinaceae";1939;25;350;"128-160 avenue de Choisy  rue Georges-Eastman  rue Charles-Moureu  rue du Docteur-Magn";"Cèdre bleu de l'Atlas";"'Glauca'";"Parc de Choisy";"2.3591911471000708";"48.827734516573116"
43;5;"Fagus";"sylvatica";"Fagaceae";1905;2;72;"Rue des Arênes  rue de Navarre  rue Monge";"Faux de Verzy";"'Tortuosa'";"Square des Arênes de Lutèce";"2.3530570746401649";"48.845302239478556"
44;7;"Eucommia";"ulmoides";"Eucomiaceae";;12;190;"Quai Branly  avenue de La Motte-Piquet  avenue de la Bourdonnais  avenue de Suffren";"Arbre à gutta-percha";;"Parc du Champs de Mars";"2.2970472874852339";"48.85786856336474"
45;9;"Pterocarya";"fraxinifolia";"Juglandaceae";1862;22;330;"Place d'Estienne-d'Orves";"Ptérocarya du Caucase";;"Square Etienne d'Orves";"2.3320851729523611";"48.8768161693475"
46;18;"Platanus";"orientalis";"Platanaceae";1857;27;470;"Place Saint-Pierre  rue Ronsard  rue Paul-Albert  rue Maurice Utrillo";"Platane d'Orient";;"Square Louise Michel";"2.3438998992092812";"48.884585119463686"
47;14;"Sequoia";"sempervirens";"Taxodiaceae";1935;30;335;"Bd Jourdan  avenue Reille  rue Gazan  rue de la Cité-Universitaire  rue Nansouty";"Séquoia sempervirent";;"Parc Montsouris";"2.3362670647670649";"48.822021042549771"
48;16;"Platanus";"orientalis";"Platanaceae";1859;25;375;"Ile du lac inférieur";"Platane d'Orient";;"Bois de Boulogne (Île du lac inférieur)";"2.2623716993631842";"48.8661922582482"
49;19;"Tilia";"tomentosa";"Malvaceae";1945;20;205;"Place Stalingrad";"Tilleul argenté";;"Place de la bataille de Stalingrad";"2.37005538124813";"48.883031933399756"
50;12;"Quercus";"petraea";"Fagaceae";1784;30;430;"route ronde des Minimes";"Chêne rouvre";;"bois de Vincennes (lac des minimes)";"2.461285702172892";"48.834182166575438"
51;20;"Acer";"monspessulanum";"Sapindac‚es";1833;12;225;"Rue du repos  rue des Rondeaux";"Erable de Montpellier";;"Cimetière du Père Lachaise";"2.39868161794913";"48.8619321528323"
52;12;"Platanus";"x acerifolia";"Platanaceae";;35;510;"Rue Paul-Belmondo  rue Joseph-Kessel  rue de l'Ambroise  rue François-Truffaut";"Platane commun";;"Parc de Bercy";"2.38155369619769";"48.835382276334578"
53;16;"Taxus";"baccata";"Taxaceae";1772;13;235;"Allée de Longchamp  route de Sèvres à Neuilly";"If commun";;"Bois de Boulogne (Bagatelle)";"2.2476751457031412";"48.87085670587323"
54;16;"Pterocarya";"stenoptera";"Juglandaceae";1905;30;530;"3 avenue de la Porte d'Auteuil  1 avenue Gordon Benett";"Ptérocarya de Chine";;"Jardin des Serres d'Auteuil";"2.251977984210888";"48.847162021153629"
55;12;"Celtis";"australis";"Cannabaceae";1906;16;295;"27  boulevard Soult";"Micocoulier de Provence";;"Avenue 27 boulevard Soult";"2.4077438017384138";"48.837330005998169"
56;5;"Robinia";"pseudoacacia";"Fabaceae";1601;11;385;"Quai de Montebello  rue Lagrange  rue Saint-Julien-le-Pauvre";"Robinier faux-acacia";;"Square Viviani";"2.347388976809472";"48.852093070877253"
57;12;"Platanus";"x acerifolia";"Platanaceae";1860;45;405;"Ile de Bercy";"Platane commun";;"bois de Vincennes (Île de Bercy)";"2.4111456070376458";"48.832587747273664"
58;12;"Fagus";"sylvatica";"Fagaceae";1865;20;530;"avenue Daumesnil  Esplanade du Château de Vincennes";"Hêtre pleureur";"'Pendula'";"bois de Vincennes (square Carnot)";"2.4337323795910151";"48.83996503442512"
59;8;"Calocedrus";"decurrens";"Cupressaceae";1854;20;195;"Cours-la-Reine  avenue Franklin-D.-Roosevelt  avenue Matignon  avenue Gabriel";"Cèdre à encens";;"Jardin des Champs Elysées";"2.313299702243294";"48.868565511873072"
60;6;"Catalpa";"bignonioides";"Bignoniaceae";;15;260;"Rue de Seine  rue Mazarine";"Catalpa commun";;"Square Gabriel Pierné";"2.336651389443178";"48.8568996053933"
